strain,date,epi_03,country,epi_00,epi_02,surface_residues_pref,region,epi_01,epi_05,surface_residues_postf,epi_04,clade_membership,epi_all,author,accession
hRSV/A/Panama/ICGES-22/2022,8/11/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618027
hRSV/A/Panama/ICGES-40/2022,10/10/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618028
hRSV/A/Panama/ICGES-37/2022,10/10/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618029
hRSV/A/Panama/ICGES-69/2022,12/19/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618020
hRSV/A/Panama/ICGES-43/2022,10/20/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618032
hRSV/A/Panama/ICGES-47/2022,10/27/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618023
hRSV/A/Panama/ICGES-44/2022,10/20/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618024
hRSV/A/Panama/ICGES-28/2022,9/22/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618026
hRSV/A/Panama/ICGES-32/2022,10/3/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618025
hRSV/A/Panama/ICGES-60/2022,11/8/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618021
PP352324,12/31/2021,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.",PP352324
PP352327,10/31/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.",PP352327
RSV/Human/USA/MA-Broad_MGB-13780/2022,10/18/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.",OQ171901
RSV-A/human/USA/WA-S23374/2021,11/11/2021,,USA,,1,2,North America,,,2,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Wolf,C.R.,Duchin,J.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Chu,H.Y.,Bedford,T.,Shendure,J.",OR287988
RSV-A/human/USA/OR-S23778/2022,12/6/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.",OR522491
hRSV-A-HS16204,11/27/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Lauring,A.S.,Papalambros,L.K.,Fitzsimmons,W.J.,Gilbert,J.",OR883007
PP352357,10/1/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.",PP352357
RSV-A/human/USA/WA-S25755/2022,11/16/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",PQ638706
RSV-A/human/USA/WA-S24022/2022,10/16/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.",OR601472
RSV-A/human/USA/WA-S24023/2022,10/16/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.",OR601473
HRSVA/USA/NY-Wadsworth_23018719_01/2023,12/31/2023,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Bonificio,B.,Schnurr,V.,Russel,A.,Griesemer,S.,Lamson,D.M.,St. George,K.",PQ052814
PP352351,10/1/2022,,USA,,1,2,North America,,,1,,A.D.1.8,1,"Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.",PP352351
PP352368,11/30/2022,,USA,,1,2,North America,,,1,,A.D.1.8,1,"Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.",PP352368
RSV-A/human/USA/WA-S24910/2024,1/9/2024,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.",PP495848
hRSV/A/Spain/CT-HUVH-246350/2024,1/6/2024,,Spain,,1,1,Europe,,,1,,A.D.1.8,1,"Pinana,M.,Andres,C.,Gonzalez Sanchez,A.,Prats,I.,Garcia Comunas,K.,Piquer,M.,Dima,E.,Martin,M.C.,Pumarola,T.,Anton,A.",OZ280382
hRSV/A/Spain/CT-HTVC-288397/2024,2/13/2024,,Spain,,1,1,Europe,,,1,,A.D.1.8,1,"Pinana,M.,Andres,C.,Gonzalez Sanchez,A.,Prats,I.,Garcia Comunas,K.,Piquer,M.,Dima,E.,Martin,M.C.,Pumarola,T.,Anton,A.",OZ279560
hRSV/A/Spain/CT-HUJT-292367/2024,2/6/2024,,Spain,,1,1,Europe,,,1,,A.D.1.8,1,"Pinana,M.,Andres,C.,Gonzalez Sanchez,A.,Prats,I.,Garcia Comunas,K.,Piquer,M.,Dima,E.,Martin,M.C.,Pumarola,T.,Anton,A.",OZ280215
hRSV/A/Spain/CT-HUAV319041/2025,2/18/2025,,Spain,,1,1,Europe,,,1,,A.D.1.8,1,"Andres,C.,Gonzalez Sanchez,A.,Prats,I.,Garcia Comunas,K.,Dima,E.,Martin,M.C.,Pumarola,T.,Anton,A.",OZ280604
MN-MDH-RSVA-01226,12/6/2024,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnkers-Voels,L.,Strain,A.",PQ849777
RSV-A/human/USA/WA-S25018/2021,9/21/2021,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boekch,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",PP495957
RSV-A/human/USA/OR-S23799/2023,1/10/2023,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.",OR522512
ASU102701,12/19/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.",OR143170
PP352347,10/31/2022,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.",PP352347
MN-MDH-RSVA-00597,1/16/2024,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.",PP910757
MN-MDH-RSVA-00825,1/29/2024,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Kunerth,H.D.,Namugenyi,S.,Plumb,M.,Bohnker,L.,Evans,D.,Wang,X.",PP973760
MN-MDH-RSVA-00822,1/29/2024,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Kunerth,H.D.,Namugenyi,S.,Plumb,M.,Bohnker,L.,Evans,D.,Wang,X.",PP973757
MN-MDH-RSVA-00818,1/22/2024,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Kunerth,H.D.,Namugenyi,S.,Plumb,M.,Bohnker,L.,Evans,D.,Wang,X.",PP973753
MN-MDH-RSVA-00817,1/21/2024,,USA,,1,1,North America,,,1,,A.D.1.8,1,"Kunerth,H.D.,Namugenyi,S.,Plumb,M.,Bohnker,L.,Evans,D.,Wang,X.",PP973752
RSV-A/human/USA/WA-S23312/2019,12/31/2019,,USA,,1,1,North America,,,1,,A.D.1,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",OR287926
RSV-A/human/USA/WA-S23256/2019,12/2/2019,,USA,,1,1,North America,,,1,,A.D.1,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",OR287870
UU02-0153-D03,11/27/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515606
UU02-0153-D04,11/28/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ516097
10103030,1/14/2020,,Canada,,1,1,North America,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376319
10103020,12/6/2019,,Canada,,1,1,North America,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376532
10103008,11/21/2019,,Canada,,1,1,North America,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376698
10103018,12/3/2019,,Canada,,1,1,North America,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376776
RSV-A/human/USA/WA-S24994/2020,1/19/2020,,USA,,1,1,North America,,,1,,A.D.1,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boekch,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",PP495933
UU01A-0103-V02,12/18/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515717
PP352311,1/31/2020,,USA,,1,1,North America,,,1,,A.D.1,1,"Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.",PP352311
hRSV/A/Germany/20-03302/2020,3/9/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Kondgen,S.,Reiche,J.",OR795407
SE01A-0163-V02,12/9/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515941
RSV-A/human/USA/WA-S24929/2019,12/17/2019,,USA,,1,1,North America,,,1,,A.D.1,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boekch,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",PP495868
RSV-A/human/USA/WA-S24951/2019,12/25/2019,,USA,,1,1,North America,,,1,,A.D.1,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boekch,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",PP495890
RSV-A/human/USA/WA-S24975/2020,1/8/2020,,USA,,1,1,North America,,,1,,A.D.1,1,"Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boekch,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.",PP495914
OX02-9328-V01,11/23/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515646
OX02-9328-D02,11/24/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ516137
OX02-8260-D04,11/11/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515998
OX02-8260-D03,11/10/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515864
OX02-8260-V01,11/8/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ516015
OX02-9450-V01,12/30/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515604
OX01A-8374-V02,12/5/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ516073
OX02-8639-V01,11/21/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515834
hRSV/A/Panama/ICGES-63/2022,12/1/2022,,Panama,,1,1,North America,,,1,,A.D.1,1,"Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.",PQ618042
hRSV-A-HS16197,11/29/2022,,USA,,1,1,North America,,,1,,A.D.1,1,"Lauring,A.S.,Papalambros,L.K.,Fitzsimmons,W.J.,Gilbert,J.",OR882978
ASU102780,12/16/2022,,USA,,1,1,North America,,,1,,A.D.1,1,"Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.",OR143220
ASU102740,11/30/2022,,USA,,1,1,North America,,,1,,A.D.1,1,"Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.",OR143197
WA-UW-26146,12/8/2023,,USA,,1,1,North America,,,1,,A.D.1,1,"Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.",PP530274
hRSV/A/Spain/CT-HUVH-310155/2023,11/21/2023,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Pinana,M.,Andres,C.,Gonzalez Sanchez,A.,Prats,I.,Garcia Comunas,K.,Piquer,M.,Dima,E.,Martin,M.C.,Pumarola,T.,Anton,A.",OZ279849
OX02-9216-D09,12/11/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ515986
OX02-9843-V01,12/10/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.",MZ516029
